"","Date","state","value","region"
"212","Apr 5","HI",1,"West"
"213","Apr 6","HI",1,"West"
"214","Apr 7","HI",0,"West"
"215","Apr 8","HI",0,"West"
"216","Apr 9","HI",1,"West"
"217","Apr 10","HI",2,"West"
"218","Apr 11","HI",0,"West"
"219","Apr 12","HI",1,"West"
"220","Apr 13","HI",0,"West"
"221","Feb 29","ID",0,"West"
"222","Mar 1","ID",0,"West"
"223","Mar 2","ID",0,"West"
"224","Mar 3","ID",0,"West"
"225","Mar 4","ID",0,"West"
"226","Mar 6","ID",0,"West"
"227","Mar 7","ID",0,"West"
"228","Mar 8","ID",0,"West"
"229","Mar 9","ID",0,"West"
"230","Mar 10","ID",0,"West"
"231","Mar 11","ID",0,"West"
"232","Mar 12","ID",0,"West"
"233","Mar 13","ID",0,"West"
"234","Mar 14","ID",0,"West"
"235","Mar 15","ID",0,"West"
"236","Mar 16","ID",0,"West"
"237","Mar 17","ID",0,"West"
"238","Mar 18","ID",0,"West"
"239","Mar 19","ID",0,"West"
"240","Mar 20","ID",0,"West"
"241","Mar 21","ID",0,"West"
"242","Mar 22","ID",0,"West"
"243","Mar 23","ID",0,"West"
"244","Mar 24","ID",0,"West"
"245","Mar 25","ID",0,"West"
"246","Mar 26","ID",3,"West"
"247","Mar 27","ID",1,"West"
"248","Mar 28","ID",1,"West"
"249","Mar 29","ID",1,"West"
"250","Mar 30","ID",1,"West"
"251","Mar 31","ID",2,"West"
"252","Apr 1","ID",0,"West"
"253","Apr 2","ID",0,"West"
"254","Apr 3","ID",1,"West"
"255","Apr 4","ID",0,"West"
"256","Apr 5","ID",0,"West"
"257","Apr 6","ID",3,"West"
"258","Apr 7","ID",2,"West"
"259","Apr 8","ID",3,"West"
"260","Apr 9","ID",6,"West"
"261","Apr 10","ID",1,"West"
"262","Apr 11","ID",2,"West"
"263","Apr 12","ID",0,"West"
"264","Apr 13","ID",6,"West"
"265","Feb 29","MT",0,"West"
"266","Mar 1","MT",0,"West"
"267","Mar 2","MT",0,"West"
"268","Mar 3","MT",0,"West"
"269","Mar 4","MT",0,"West"
"270","Mar 6","MT",0,"West"
"271","Mar 7","MT",0,"West"
"272","Mar 8","MT",0,"West"
"273","Mar 9","MT",0,"West"
"274","Mar 10","MT",0,"West"
"275","Mar 11","MT",0,"West"
"276","Mar 12","MT",0,"West"
"277","Mar 13","MT",0,"West"
"278","Mar 14","MT",0,"West"
"279","Mar 15","MT",0,"West"
"280","Mar 16","MT",0,"West"
"281","Mar 17","MT",0,"West"
"282","Mar 18","MT",0,"West"
"283","Mar 19","MT",0,"West"
"284","Mar 20","MT",0,"West"
"285","Mar 21","MT",0,"West"
"286","Mar 22","MT",0,"West"
"287","Mar 23","MT",0,"West"
"288","Mar 24","MT",0,"West"
"289","Mar 25","MT",0,"West"
"290","Mar 26","MT",0,"West"
"291","Mar 27","MT",1,"West"
"292","Mar 28","MT",0,"West"
"293","Mar 29","MT",0,"West"
"294","Mar 30","MT",3,"West"
"295","Mar 31","MT",0,"West"
"296","Apr 1","MT",1,"West"
"297","Apr 2","MT",0,"West"
"298","Apr 3","MT",0,"West"
"299","Apr 4","MT",0,"West"
"300","Apr 5","MT",0,"West"
"301","Apr 6","MT",1,"West"
"302","Apr 7","MT",0,"West"
"303","Apr 8","MT",0,"West"
"304","Apr 9","MT",0,"West"
"305","Apr 10","MT",0,"West"
"306","Apr 11","MT",0,"West"
"307","Apr 12","MT",0,"West"
"308","Apr 13","MT",1,"West"
"309","Feb 29","NM",0,"West"
"310","Mar 1","NM",0,"West"
"311","Mar 2","NM",0,"West"
"312","Mar 3","NM",0,"West"
"313","Mar 4","NM",0,"West"
"314","Mar 6","NM",0,"West"
"315","Mar 7","NM",0,"West"
"316","Mar 8","NM",0,"West"
"317","Mar 9","NM",0,"West"
"318","Mar 10","NM",0,"West"
"319","Mar 11","NM",0,"West"
"320","Mar 12","NM",0,"West"
"321","Mar 13","NM",0,"West"
"322","Mar 14","NM",0,"West"
"323","Mar 15","NM",0,"West"
"324","Mar 16","NM",0,"West"
"325","Mar 17","NM",0,"West"
"326","Mar 18","NM",0,"West"
"327","Mar 19","NM",0,"West"
"328","Mar 20","NM",0,"West"
"329","Mar 21","NM",0,"West"
"330","Mar 22","NM",0,"West"
"331","Mar 23","NM",0,"West"
"332","Mar 24","NM",0,"West"
"333","Mar 25","NM",0,"West"
"334","Mar 26","NM",1,"West"
"335","Mar 27","NM",0,"West"
"336","Mar 28","NM",1,"West"
"337","Mar 29","NM",0,"West"
"338","Mar 30","NM",2,"West"
"339","Mar 31","NM",1,"West"
"340","Apr 1","NM",1,"West"
"341","Apr 2","NM",1,"West"
"342","Apr 3","NM",3,"West"
"343","Apr 4","NM",1,"West"
"344","Apr 5","NM",1,"West"
"345","Apr 6","NM",0,"West"
"346","Apr 7","NM",1,"West"
"347","Apr 8","NM",3,"West"
"348","Apr 9","NM",1,"West"
"349","Apr 10","NM",2,"West"
"350","Apr 11","NM",1,"West"
"351","Apr 12","NM",6,"West"
"352","Apr 13","NM",5,"West"
"353","Feb 29","NV",0,"West"
"354","Mar 1","NV",0,"West"
"355","Mar 2","NV",0,"West"
"356","Mar 3","NV",0,"West"
"357","Mar 4","NV",0,"West"
"358","Mar 6","NV",0,"West"
"359","Mar 7","NV",0,"West"
"360","Mar 8","NV",0,"West"
"361","Mar 9","NV",0,"West"
"362","Mar 10","NV",0,"West"
"363","Mar 11","NV",0,"West"
"364","Mar 12","NV",0,"West"
"365","Mar 13","NV",0,"West"
"366","Mar 14","NV",0,"West"
"367","Mar 15","NV",0,"West"
"368","Mar 16","NV",1,"West"
"369","Mar 17","NV",0,"West"
"370","Mar 18","NV",0,"West"
"371","Mar 19","NV",0,"West"
"372","Mar 20","NV",0,"West"
"373","Mar 21","NV",1,"West"
"374","Mar 22","NV",0,"West"
"375","Mar 23","NV",0,"West"
"376","Mar 24","NV",0,"West"
"377","Mar 25","NV",0,"West"
"378","Mar 26","NV",0,"West"
"379","Mar 27","NV",8,"West"
"380","Mar 28","NV",4,"West"
"381","Mar 29","NV",1,"West"
"382","Mar 30","NV",0,"West"
"383","Mar 31","NV",2,"West"
"384","Apr 1","NV",9,"West"
"385","Apr 2","NV",12,"West"
"386","Apr 3","NV",5,"West"
"387","Apr 4","NV",3,"West"
"388","Apr 5","NV",0,"West"
"389","Apr 6","NV",0,"West"
"390","Apr 7","NV",12,"West"
"391","Apr 8","NV",13,"West"
"392","Apr 9","NV",9,"West"
"393","Apr 10","NV",6,"West"
"394","Apr 11","NV",22,"West"
"395","Apr 12","NV",6,"West"
"396","Apr 13","NV",0,"West"
"397","Feb 29","OR",0,"West"
"398","Mar 1","OR",0,"West"
"399","Mar 2","OR",0,"West"
"400","Mar 3","OR",0,"West"
"401","Mar 4","OR",0,"West"
"402","Mar 6","OR",0,"West"
"403","Mar 7","OR",0,"West"
"404","Mar 8","OR",0,"West"
"405","Mar 9","OR",0,"West"
"406","Mar 10","OR",0,"West"
"407","Mar 11","OR",0,"West"
"408","Mar 12","OR",0,"West"
"409","Mar 13","OR",0,"West"
"410","Mar 14","OR",0,"West"
"411","Mar 15","OR",1,"West"
"412","Mar 16","OR",0,"West"
"413","Mar 17","OR",0,"West"
"414","Mar 18","OR",2,"West"
"415","Mar 19","OR",0,"West"
"416","Mar 20","OR",0,"West"
"417","Mar 21","OR",0,"West"
"418","Mar 22","OR",1,"West"
"419","Mar 23","OR",0,"West"
"420","Mar 24","OR",0,"West"
"421","Mar 25","OR",6,"West"
"422","Mar 26","OR",0,"West"
"423","Mar 27","OR",2,"West"
"424","Mar 28","OR",1,"West"
"425","Mar 29","OR",0,"West"
"426","Mar 30","OR",3,"West"
"427","Mar 31","OR",2,"West"
"428","Apr 1","OR",1,"West"
"429","Apr 2","OR",2,"West"
"430","Apr 3","OR",1,"West"
"431","Apr 4","OR",4,"West"
"432","Apr 5","OR",1,"West"
"433","Apr 6","OR",2,"West"
"434","Apr 7","OR",4,"West"
"435","Apr 8","OR",5,"West"
"436","Apr 9","OR",6,"West"
"437","Apr 10","OR",4,"West"
"438","Apr 11","OR",3,"West"
"439","Apr 12","OR",1,"West"
"440","Apr 13","OR",1,"West"
"441","Feb 29","UT",0,"West"
"442","Mar 1","UT",0,"West"
"443","Mar 2","UT",0,"West"
"444","Mar 3","UT",0,"West"
"445","Mar 4","UT",0,"West"
"446","Mar 6","UT",0,"West"
"447","Mar 7","UT",0,"West"
"448","Mar 8","UT",0,"West"
"449","Mar 9","UT",0,"West"
"450","Mar 10","UT",0,"West"
"451","Mar 11","UT",0,"West"
"452","Mar 12","UT",0,"West"
"453","Mar 13","UT",0,"West"
"454","Mar 14","UT",0,"West"
"455","Mar 15","UT",0,"West"
"456","Mar 16","UT",0,"West"
"457","Mar 17","UT",0,"West"
"458","Mar 18","UT",0,"West"
"459","Mar 19","UT",0,"West"
"460","Mar 20","UT",0,"West"
"461","Mar 21","UT",0,"West"
"462","Mar 22","UT",1,"West"
"463","Mar 23","UT",0,"West"
"464","Mar 24","UT",0,"West"
"465","Mar 25","UT",0,"West"
"466","Mar 26","UT",0,"West"
"467","Mar 27","UT",1,"West"
